URL,PLAYER_NAME,Player of the match with the picture,Country that the player of the match belongs to,Runs scored by every batsman,Balls played by every batsman,Strike rate for every batsman,Wickets taken by every bowler,Economy rate for every bowler,which country won the toss,who were the umpires?,who was the match referee
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-new-zealand-final-1144530/full-scorecard,Ben Stokes,https://wassets.hscicdn.com/static/images/lazyimage.png,England,"19,55,30,15,47,19,16,5,4,1,30,17,36,7,9,84,59,2,10,0,0,0,17","18,77,53,31,56,25,28,9,2,2,20,55,30,22,98,60,4,10,1,0,0","105.56,71.43,56.60,48.39,83.93,76.00,57.14,55.56,200.00,50.00,85.00,65.45,23.33,40.91,85.71,98.33,50.00,100.00,0.00,0.00,0.00","3,1,3,1,0,0,0,1,1,3,3,0","4.11,4.20,4.20,4.90,4.88,6.67,6.70,4.00,2.50,5.00,6.14,3.67","New Zealand,, elected to ,bat first","Kumar Dharmasena,Marais Erasmus",Ranjan Madugalle
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/new-zealand-vs-sri-lanka-3rd-match-1144485/full-scorecard,Matt Henry,https://wassets.hscicdn.com/static/images/lazyimage.png,New Zealand,"4,52,29,0,4,0,1,27,0,7,1,11,73,58,6","2,84,24,1,13,9,4,23,3,13,2,51,47","200.00,61.90,120.83,0.00,30.77,0.00,25.00,117.39,0.00,53.85,50.00,143.14,123.40","3,1,3,1,1,1,0,0,0,0,0","4.14,4.89,3.47,7.00,7.00,2.50,9.20,7.00,8.00,8.33,9.43","New Zealand,, elected to ,field first","Ian Gould,Rod Tucker",Andy Pycroft
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-australia-4th-match-1144486/full-scorecard,David Warner,https://wassets.hscicdn.com/static/images/lazyimage.png,Australia,"0,0,43,18,7,31,51,27,4,13,1,12,66,89,15,18,4,17","3,2,60,34,22,33,49,11,6,9,2,49,114,20,27,1","0.00,0.00,71.67,52.94,31.82,93.94,104.08,245.45,66.67,144.44,50.00,134.69,78.07,75.00,66.67,400.00","1,3,0,2,3,1,0,0,1,0,1","4.43,4.80,4.50,5.29,7.50,9.31,2.50,6.40,6.40,5.33,6.50","Afghanistan,, elected to ,bat first","Aleem Dar,Richard Illingworth",Ranjan Madugalle
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/bangladesh-vs-south-africa-5th-match-1144487/full-scorecard,Shakib Al Hasan,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/303100/303157.jpg",Bangladesh,"16,42,75,78,21,46,26,5,21,23,45,62,38,41,45,8,10,13,10,14","29,30,84,80,21,33,20,3,32,56,53,43,38,37,13,10,9,10","55.17,140.00,89.29,97.50,100.00,139.39,130.00,166.67,71.88,80.36,116.98,88.37,107.89,121.62,61.54,100.00,144.44,100.00","0,0,2,2,0,2,0,3,1,2,1,0,0","8.50,5.70,5.20,7.30,7.60,5.70,10.00,6.70,4.40,7.13,5.00,8.17,6.33","South Africa,, elected to ,field first","Joel Wilson,Paul Reiffel",David Boon
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-sri-lanka-7th-match-1144489/full-scorecard,Nuwan Pradeep,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/263600/263677.1.png",Sri Lanka,"30,78,25,2,0,0,2,10,15,4,0,35,7,30,2,4,11,23,43,2,6,6,1,17","45,81,34,2,2,4,4,21,13,14,4,12,25,11,17,16,32,56,4,18,5,1","66.67,96.30,73.53,100.00,0.00,0.00,50.00,47.62,115.38,28.57,0.00,58.33,120.00,18.18,23.53,68.75,71.88,76.79,50.00,33.33,120.00,100.00","2,1,0,4,0,2,3,0,1,4,1,0","5.67,7.57,6.33,3.33,9.50,2.17,5.85,4.50,4.67,3.44,4.75,7.00","Afghanistan,, elected to ,field first","Nigel Llong,Paul Wilson",Andy Pycroft
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/india-vs-south-africa-8th-match-1144490/full-scorecard,Rohit Sharma,https://wassets.hscicdn.com/static/images/lazyimage.png,India,"6,10,38,22,31,3,34,42,31,0,10,8,122,18,26,34,15,7","9,17,54,37,40,11,61,34,35,2,12,144,34,42,46,7","66.67,58.82,70.37,59.46,77.50,27.27,55.74,123.53,88.57,0.00,66.67,84.72,52.94,61.90,73.91,214.29","2,2,0,1,4,0,0,2,1,1,0","4.40,3.50,5.17,4.60,5.10,4.00,5.80,3.90,3.60,4.71,6.00","South Africa,, elected to ,bat first","Michael Gough,Richard Kettleborough",Ranjan Madugalle
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-south-africa-1st-match-1144483/full-scorecard,Ben Stokes,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/305000/305019.jpg",England,"54,0,51,57,89,18,3,13,9,7,10,68,13,11,5,50,8,1,24,11,6,0,10","53,1,59,60,79,16,9,14,6,3,74,23,12,7,61,11,1,25,19,5,1","101.89,0.00,86.44,95.00,112.66,112.50,33.33,92.86,150.00,233.33,91.89,56.52,91.67,71.43,81.97,72.73,100.00,96.00,57.89,120.00,0.00","2,3,2,0,1,0,0,0,3,1,1,2,2","6.10,6.60,6.60,6.00,5.50,7.00,5.33,4.80,3.86,4.38,6.30,5.29,4.24","South Africa,, elected to ,field first","Bruce Oxenford,Kumar Dharmasena",David Boon
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/pakistan-vs-west-indies-2nd-match-1144484/full-scorecard,Oshane Thomas,https://wassets.hscicdn.com/static/images/lazyimage.png,West Indies,"2,22,22,8,8,16,1,0,1,18,3,4,50,11,0,34,7,6","11,16,33,11,12,24,3,1,4,11,6,34,17,4,19,8","18.18,137.50,66.67,72.73,66.67,66.67,33.33,0.00,25.00,163.64,50.00,147.06,64.71,0.00,178.95,87.50","1,3,2,0,4,3,0,0","4.50,8.40,1.33,3.50,4.76,4.33,9.75,10.91","West Indies,, elected to ,field first","Chris Gaffaney,Marais Erasmus",Jeff Crowe
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-pakistan-6th-match-1144488/full-scorecard,Mohammad Hafeez,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/302800/302841.jpg",Pakistan,"44,36,63,84,55,14,8,4,10,10,20,8,32,107,9,13,103,19,21,1,3,10,8","58,40,66,62,44,11,8,2,5,4,7,31,104,18,18,76,20,14,2,4,6","75.86,90.00,95.45,135.48,125.00,127.27,100.00,200.00,200.00,250.00,114.29,103.23,102.88,50.00,72.22,135.53,95.00,150.00,50.00,75.00,166.67","3,0,3,2,0,0,2,2,3,0,1,1","8.88,7.90,5.00,5.30,6.14,8.60,6.30,6.70,8.20,6.60,6.14,3.33","England,, elected to ,field first","Marais Erasmus,Sundaram Ravi",Jeff Crowe
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/pakistan-vs-sri-lanka-11th-match-1144493/full-scorecard,,,,,,,,,no toss,"Ian Gould,Nigel Llong",Andy Pycroft
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-bangladesh-12th-match-1144494/full-scorecard,Jason Roy,https://wassets.hscicdn.com/static/images/lazyimage.png,England,"153,51,21,64,35,6,18,27,11,19,2,121,44,0,28,26,5,12,4,0,19","121,50,29,44,33,7,8,9,29,8,119,50,2,41,16,8,8,9,3","126.45,102.00,72.41,145.45,106.06,85.71,225.00,300.00,65.52,25.00,101.68,88.00,0.00,68.29,162.50,62.50,150.00,44.44,0.00","0,1,2,1,2,0,0,3,1,2,1,3","7.10,6.80,8.67,8.33,6.70,12.00,8.38,3.28,4.50,6.50,6.40,3.83","Bangladesh,, elected to ,field first","Joel Wilson,Kumar Dharmasena",David Boon
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/bangladesh-vs-new-zealand-9th-match-1144491/full-scorecard,Ross Taylor,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/303600/303667.png",New Zealand,"24,25,64,19,26,20,11,29,7,1,0,18,25,24,40,82,0,25,15,17,6,4,10","38,25,68,35,33,41,22,23,9,2,0,14,34,72,91,4,33,13,12,8,3","63.16,100.00,94.12,54.29,78.79,48.78,50.00,126.09,77.78,50.00,0.00,178.57,70.59,55.56,90.11,0.00,75.76,115.38,141.67,75.00,133.33","4,2,1,1,0,1,0,2,0,2,2,2","5.04,4.40,4.00,4.88,12.00,4.10,6.40,4.70,6.70,4.70,5.86,4.13","New Zealand,, elected to ,field first","Bruce Oxenford,Paul Reiffel",David Boon
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-new-zealand-13th-match-1144495/full-scorecard,James Neesham,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/303600/303603.jpg",New Zealand,"34,31,0,59,4,9,4,2,0,14,7,8,0,22,79,48,13,11","28,38,4,99,4,24,3,22,4,10,11,1,24,99,52,18","121.43,81.58,0.00,59.60,100.00,37.50,133.33,9.09,0.00,140.00,63.64,0.00,91.67,79.80,92.31,72.22","0,0,4,5,1,3,0,0,0,0","6.25,3.40,4.04,3.10,3.50,5.51,4.29,6.11,6.00,4.20","New Zealand,, elected to ,field first","Aleem Dar,Michael Gough",Ranjan Madugalle
